original_chinese_name,translated_name,wirescreen_name_en,last_retrieval_date,flags,government_ownership_fraction,historical_shareholders,investments,direct_shareholders,beneficial_owners,customers,suppliers,pdf_link
博湖县吉湖福内陆捕捞有限责任公司,Bohu County Jihu Fu inland Fishing Co.,,,,,,,,,,,
博湖县天成内陆捕捞有限公司,Bohu County Tiancheng Inland Fishing Co.,,,,,,,,,,,
博湖县强明育苇场,Qiangming Reed Farms in Bohu County,,,,,,,,,,,
博湖县彤新内陆捕捞有限公司,Bohu County Tongxin Inland Fishing Co.,,,,,,,,,,,
博湖县忠泽特色水产养殖农民专业合作社,Bohu County Zhongze Characteristic Aquaculture Farmers Professional Cooperative,,,,,,,,,,,
博湖县意宝春渔业有限责任公司,Bohu County Yibaochun Fisheries Co.,,,,,,,,,,,
博湖县新宁水产开发有限公司,Bohu County Xinning Aquatic Products Development Co.,,,,,,,,,,,
博湖县新富渔内陆捕捞有限公司,Bohu County Xinfu Fishing Inland Fishing Co.,,,,,,,,,,,
博湖县民军内陆捕捞有限公司,Bohu County Civilian Army Inland Fishing Co.,,,,,,,,,,,
博湖县沙滩鱼内陆捕捞有限公司,Bohu County Beach Fish Inland Fishing Co.,,,,,,,,,,,
博湖县老刘捕捞队,Bohu County Lao Liu Fishing Team,,,,,,,,,,,
博湖县蓝翔食品水产有限公司,Bohu Lanxiang Food and Aquatic Products Co.,,,,,,,,,,,
博湖县韶隆捕捞队,Bohu County Shaolong Fishing Team,,,,,,,,,,,
博湖县马恒水产销售店（个体工商户）,Bohu County Maheng Aquatic Products Sales Store,,,,,,,,,,,
博湖县黄水沟废水育苇生态开发有限公司,Bohu County Huangshuigou Wastewater Reed Cultivation Ecological Development Co.,,,,,,,,,,,
博湖县黄水湖东盛水产综合养殖场,Bohu County Huangshui Lake Dongsheng Aquatic Integrated Breeding Farm,,,,,,,,,,,
双河市两河水产品养殖专业合作社,Shuanghe City Lianghe Aquatic Products Breeding Professional Cooperative,,,,,,,,,,,
双河市丰华水产养殖专业合作社,Shuanghe City Fenghua Aquaculture Professional Cooperative,,,,,,,,,,,
双河市以恒水产养殖有限公司,Shuanghe Yiheng Aquaculture Co.,,,,,,,,,,,
双河市冰河淡水鱼养殖农民专业合作社,Shuanghe City Glacier Freshwater Fish Breeding Farmers Professional Cooperative,,,,,,,,,,,
双河市冰泉水产养殖专业合作社,Shuanghe City Bingquan Aquaculture Professional Cooperative,,,,,,,,,,,
双河市博龙水产养殖专业合作社,Shuanghe City Bolong Aquaculture Professional Cooperative,,,,,,,,,,,
双河市峪合恒顺种养殖专业合作社,Shuanghe City Yuhe Hengshun Breeding Professional Cooperative,,,,,,,,,,,
双河市敬坤养殖专业合作社,Shuanghe City Jingkun Breeding Professional Cooperative,,,,,,,,,,,
双河市新楚水产养殖专业合作社,Shuanghe City Xinchu Aquaculture Professional Cooperative,,,,,,,,,,,
双河市春淼养殖专业合作社,Shuanghe City Chunmiao Breeding Professional Cooperative,,,,,,,,,,,
双河市百泉渔业有限公司,Shuanghe Baiquan Fishery Co.,,,,,,,,,,,
双河市芦苇荡养殖专业合作社,Shuanghe City Reed Marsh Breeding Professional Cooperative,,,,,,,,,,,
双河市陆胜养殖专业合作社,Shuanghe City Lusheng Breeding Professional Cooperative,,,,,,,,,,,
可克达拉勇诚水产养殖专业合作社,Kekedala Yongcheng Aquaculture Professional Cooperative,,,,,,,,,,,
可克达拉市双喜水产种植场,Shuangxi Aquatic Plantation Farm in Kekedala City,,,,,,,,,,,
可克达拉市四友养殖农民专业合作社,Kokedala City Siyou Breeding Farmers Professional Cooperative,,,,,,,,,,,
可克达拉市西江月生态观光有限公司,Kekedala Xijiangyue Ecological Tourism Co.,,,,,,,,,,,
可克达拉草尚肥生态养殖专业合作社,Kokdala Grass Shangfei Ecological Breeding Professional Cooperative,,,,,,,,,,,
叶城县光亮养殖农民专业合作社,Yecheng County Guangming Breeding Farmers Professional Cooperative,,,,,,,,,,,
叶城县同创水产养殖中心,Yecheng County Tongchuang Aquaculture Center,,,,,,,,,,,
叶城县民愿养殖服务中心,Yecheng County Minyuan Breeding Service Center,,,,,,,,,,,
叶城县疆同创富民养殖农民专业合作社,Yecheng County Jiang Tongchuang Enriching Breeding Farmers Professional Cooperative,,,,,,,,,,,
叶城县福霖家庭农场,Fulin Family Farm,Taihu County Fulin Family Farm,"September 23, 2024",,,,Taihu County Tongfu Planting Farmers Professional Cooperative:0.06819,LIU Yulin:1,LIU Yulin:1,,,/pdfs/Taihu County Fulin Family Farm.pdf
叶城县鱼岛观赏鱼店（个体工商户）,Yecheng County Yudao Ornamental Fish Shop (Individual Industrial and Commercial Owners),,,,,,,,,,,
吉木乃县红山湖水产品养殖专业合作社,Jimunai County Hongshan Lake Aquatic Products Breeding Professional Cooperative,,,,,,,,,,,
吉木萨尔县北庭镇兆祥养殖专业合作社,Zhaoxiang Breeding Professional Cooperative,,,,,,,,,,,
吉木萨尔县北庭镇宇凡水产养殖专业合作社,Yufan Aquaculture Professional Cooperative,,,,,,,,,,,
吉木萨尔县北庭镇毛生萍水产养殖场,Maoshengping Aquaculture Farm,,,,,,,,,,,
吉木萨尔县北庭镇王德有养殖厂,Wang Deyou Breeding Factory,,,,,,,,,,,
吉木萨尔县北庭镇祥毅瑞玲渔业养殖家庭农场,Xiangyi Ruiling Fishery Breeding Family Farm,,,,,,,,,,,
吉木萨尔县庭州湾鱼养殖俱乐部（个体工商户）,Jimusar County Tingzhou Bay Fish Breeding Club,,,,,,,,,,,
吉木萨尔县林富水产养殖专业合作社,Jimusar County Linfu Aquaculture Professional Cooperative,,,,,,,,,,,
吉木萨尔县福瑞祥和种植家庭农场,Furui Xianghe Planting Family Farm in Jimusar County,,,,,,,,,,,
吉木萨尔县老台乡大湾水产养殖专业合作社,Jimusar County Laotai Township Dawan Aquaculture Professional Cooperative,,,,,,,,,,,
吐鲁番市交河水产苗种场有限责任公司,Turpan Jiaohe Aquatic Seed Farm Co.,Turpan Jiaohe Aquatic Seed Farm Company Limited,"December 15, 2023",Government Entity,,"""Turpan Regional Water Conservancy Department"" (2013-2015: 1); ""Turfan State-Owned Assets Supervision And Administration Commission"" (2018-2025: 1)",,Turfan State-Owned Assets Supervision And Administration Commission:1,Turfan State-Owned Assets Supervision And Administration Commission:1,,,/pdfs/Turpan Jiaohe Aquatic Seed Farm Company Limited.pdf
吐鲁番市海迪水产养殖有限公司,Turpan City Heidi Aquaculture Co.,,,,,,,,,,,
吐鲁番市顺发水产养殖农民专业合作社,Turpan City Shunfa Aquaculture Farmers Professional Cooperative,,,,,,,,,,,
吐鲁番浩洋水产品养殖有限公司,Turpan Haoyang Aquatic Products Breeding Co.,,,,,,,,,,,
吐鲁番白对虾水产养殖有限公司,Turpan White Shrimp Aquaculture Co.,,,,,,,,,,,
呼图壁县五工台镇康望水产养殖厂,Kangwang Aquaculture Factory,,,,,,,,,,,
呼图壁县五工台镇恩泽水产养殖厂,Enze Aquaculture Factory,,,,,,,,,,,
呼图壁县五工台镇盛润和水产养殖农民专业合作社,Shengrunhe Aquaculture Farmers Professional Cooperative,,,,,,,,,,,
呼图壁县五工台镇鑫鑫水产养殖厂,Xinxin Aquaculture Factory,,,,,,,,,,,
呼图壁县学书水产品养殖场,Hutubi County Xue Shu Aquatic Products Farm,,,,,,,,,,,
呼图壁县弘渔水产养殖场,Hutubi County Hongyu Aquaculture Farm,,,,,,,,,,,
呼图壁县百湖泉水产销售店,Hutubi County Baihuquan Aquatic Product Sales Store,,,,,,,,,,,
呼图壁县盐水湾水产养殖农民专业合作社,Hutubi County Yanyan Bay Aquaculture Farmers Professional Cooperative,,,,,,,,,,,
呼图壁县种牛场李永刚水产养殖场,Hutubi County Breeding Cattle Farm Li Yonggang Aquaculture Farm,,,,,,,,,,,
呼图壁县芙硒园水产品养殖农民专业合作社,Hutubi County FuSeyuan Aquatic Product Farmers Professional Cooperative,,,,,,,,,,,
呼图壁县鑫润水产养殖农民专业合作社,Hutubi County Xinrun Aquaculture Farmers Professional Cooperative,,,,,,,,,,,
呼图壁县闫军水产销售中心（个体工商户）,Hutubi County Yanjun Aquatic Products Sales Center,,,,,,,,,,,
呼图壁县鱼壮壮水产鱼药店,Hutubi County Yuzhuangzhuang Aquatic Fish Pharmacy,,,,,,,,,,,
呼图壁县黑家塘生态养殖场,Hutubi County Heijatang Ecological Breeding Farm,,,,,,,,,,,
和布克赛尔蒙古自治县一楠水产养殖销售商行,and Yinan Aquaculture Sales Company of Buxel Mongolian Autonomous County,,,,,,,,,,,
和布克赛尔蒙古自治县万青源家庭牧场,and Wanqingyuan Family Ranch in Buxer Mongolian Autonomous County,,,,,,,,,,,
和布克赛尔蒙古自治县卫华水产总汇,and Weihua Aquatic Products Collection in Buxel Mongolian Autonomous County,,,,,,,,,,,
和布克赛尔蒙古自治县赛肯牧业开发有限公司,Hoboksar Mongol Autonomous County Saiken Animal Husbandry Development Co.,,,,,,,,,,,
和田初心食品开发有限公司,Hetian Chuxin Food Development Co.,Hetian Chuxin Food Development Company Limited,"December 10, 2023",Labor Issues - Food Processing,,"""Turjaniaz Matikurban"" (2019: 0.25, 2020-2025: 0.25); ""Unknown"" (2019: 0.25, 2020-2025: 0.25); ""Iminto Hoti Tortoti"" (2020-2025: 0.25); ""Unknown"" (2019: 0.25, 2020-2025: 0.25)",,Iminto Hoti Tortoti:0.25; :0.25; :0.25; Turjaniaz Matikurban:0.25,:0.25; Turjaniaz Matikurban:0.25; Iminto Hoti Tortoti:0.25; :0.25,,,/pdfs/Hetian Chuxin Food Development Company Limited.pdf
和田县众利畜牧养殖农民专业合作社,Hotan County Zhongli Livestock Breeding Farmers Professional Cooperative,,,,,,,,,,,
和田县依皮提哈尔畜牧养殖农民专业合作社,Hotan County Yipitihar Livestock Breeding Farmers Professional Cooperative,,,,,,,,,,,
和田县华扬水产鱼药经营部,Hotan County Huayang Aquatic Products and Fish Medicine Business Department,,,,,,,,,,,
和田县古丽格娜养殖农民专业合作社,Hotan County Guligna Breeding Farmers Professional Cooperative,,,,,,,,,,,
和田县古扎木田园农场农民专业合作社,Hotan County Guzamu Tianyuan Farm Farmers Professional Cooperative,,,,,,,,,,,
和田县古莱兰农民专业合作社,Hotan County Gulelan Farmers Professional Cooperative,,,,,,,,,,,
和田县吾宗肖乡莲花岛深水龙虾农场,Lianhua Island Deepwater Lobster Farm,,,,,,,,,,,
和田县吾宗肖乡金天地畜牧养殖业农民专业合作社,Jintiandi Animal Husbandry and Breeding Farmers Professional Cooperative in Wuzongxiao Township,,,,,,,,,,,
和田县吾宗肖农民专业合作社,Hotan County Wuzongxiao Farmers Professional Cooperative,,,,,,,,,,,
和田县巨石农产品农民专业合作社,Hotan County Jushi Agricultural Products Farmers Professional Cooperative,,,,,,,,,,,
和田县德聚源鸽业农民专业合作社,Hotan County Dejuyuan Pigeon Industry Farmers Professional Cooperative,,,,,,,,,,,
和田县永安养鱼农场,Hotan County Yongan Fish Farm,,,,,,,,,,,
和田县汪盛源养殖农民专业合作社,Hotan County Wang Shengyuan Breeding Farmers Professional Cooperative,,,,,,,,,,,
和田县海拜尔水产品养殖农民专业合作社,Hotan County Haibaier Aquatic Products Breeding Farmers Professional Cooperative,,,,,,,,,,,
和田县神秘岛农家院农民专业合作社,Mysterious Island Farm Farmers' Professional Cooperative in Hotan County,,,,,,,,,,,
和田县米合热班畜牧养殖农民专业合作社,Hotan County Mihereban Livestock Breeding Farmers Professional Cooperative,,,,,,,,,,,
和田县绿色生命养殖农民专业合作社,Hotan County Green Life Breeding Farmers Professional Cooperative,,,,,,,,,,,
和田县罕艾日克镇温暖世界畜牧养殖场,Warm World Livestock Farm,,,,,,,,,,,
和田县美乡畜牧养殖农民专业合作社,Hotan County Meixiang Livestock Breeding Farmers Professional Cooperative,,,,,,,,,,,
和田县美富农畜牧养殖农民专业合作社,Hotan County Meifunong Livestock Breeding Farmers Professional Cooperative,,,,,,,,,,,
和田县群有水产养殖农民专业合作社,Hotan County Qunyou Aquaculture Farmers Professional Cooperative,,,,,,,,,,,
和田县色格孜库勒乡光泉畜牧养殖农民专业合作社,Guangquan Livestock Breeding Farmers Professional Cooperative in Segezikule Township,,,,,,,,,,,
和田县芦苇园鱼养殖场（个体工商户）,Hotan County Reed Garden Fish Breeding Farm (Individual Industrial and Commercial Household),,,,,,,,,,,
和田县英艾日克乡华扬动保渔业经营部,Huayang Animal Protection and Fishery Management Department,,,,,,,,,,,
和田县蓝海养殖农民专业合作社,Hotan County Blue Ocean Breeding Farmers Professional Cooperative,,,,,,,,,,,
和田县遗传养殖农民专业合作社,Hotan County Genetic Breeding Farmers Professional Cooperative,,,,,,,,,,,
和田县金翅养殖农民专业合作社,Hotan County Golden Wing Farmers Professional Cooperative,,,,,,,,,,,
和田县鑫宝畜牧养殖农民专业合作社,Hotan County Xinbao Livestock Breeding Farmers Professional Cooperative,,,,,,,,,,,
和田县鑫沃润达水产养殖合作社,Hotan County Xinworunda Aquaculture Cooperative,,,,,,,,,,,
和田县阿巴斯畜牧养殖农民专业合作社,Hotan County Abbas Livestock Breeding Farmers Professional Cooperative,,,,,,,,,,,
和田合融食品配送有限公司,Hetian Herong Food Distribution Co.,,,,,,,,,,,
和田地区新园水库管理有限公司,Hotan New Garden Reservoir Management Co.,,,,,,,,,,,
和田塞尔瓦孜食品发展有限公司,Hetian Selvaz Food Development Co.,,,,,,,,,,,
和田宁愿畜牧有限公司,Hetian Ningyuan Livestock Co.,,,,,,,,,,,
和田巧手畜牧养殖有限公司,Hotan Qiaoshe Livestock Breeding Co.,,,,,,,,,,,
和田市万贯养殖农民专业合作社,Hotan City Wanguan Breeding Farmers Professional Cooperative,Hotan City Wanguan Breeding Farmers Professional Cooperative,"July 31, 2023",,,,,,,,,/pdfs/Hotan City Wanguan Breeding Farmers Professional Cooperative.pdf
和田市丰和渔业有限责任公司,Hotan Fenghe Fishery Co.,,,,,,,,,,,
和田市兴荣养殖农民专业合作社,Hotan Xingrong Breeding Farmers Professional Cooperative,,,,,,,,,,,
和田市农乐养殖农民专业合作社,Hotan Nongle Breeding Farmers Professional Cooperative,,,,,,,,,,,
和田市半日闲农庄农家院（个体工商户）,Hotan City Banrixiangzhuang Farmhouse,,,,,,,,,,,
和田市善良农民专业合作社,Hotan City Kindhearted Farmers Professional Cooperative,,,,,,,,,,,
和田市平洋养鱼殖场,Hotan City Pingyang Fish Farm,,,,,,,,,,,
和田市掘起养殖农民专业合作社,Hotan City Diqi Breeding Farmers Professional Cooperative,,,,,,,,,,,
和田市海龙湾水产店,Hotan Hailongwan Aquatic Products Store,,,,,,,,,,,
和田市清净之水养殖场,Hotan City Pure Water Breeding Farm,,,,,,,,,,,
和田市爱丽吾泽尔水产品养殖农民专业合作社,Hotan Aliwuzel Aquatic Product Breeding Farmers Professional Cooperative,,,,,,,,,,,
和田市爱芯畜牧养殖农民专业合作社,Hotan Aixin Livestock Breeding Farmers Professional Cooperative,,,,,,,,,,,
和田市甜湖鱼养殖场,Hotan City Sweet Lake Fish Farm,,,,,,,,,,,
和田市米尔赛海鲜水产店,Mirsai Seafood and Aquatic Products Store in Hotan City,,,,,,,,,,,
和田市绿田野养殖场,Hotan City Green Field Breeding Farm,,,,,,,,,,,
和田市绿蚌珠农业产品农民专业合作社,Hotan Green Clam Pearl Agricultural Products Farmers Professional Cooperative,,,,,,,,,,,
和田市老渔民农庄农家院（个体工商户）,Hotan City Old Fisherman Farm House,,,,,,,,,,,
和田市香蒲湖鱼养殖场,Hotan City Xiangpu Lake Fish Breeding Farm,,,,,,,,,,,
和田帝辰医药生物科技有限公司,Hetian Dichen Pharmaceutical Biotechnology Co.,Hetian Dichen Pharmaceutical Biotechnology Company Limited,"January 21, 2024",,,"""PAN Jinhai"" (2017: 0.51001, 2018-2025: 0.57001); ""YOU Lin"" (2014: 0.02619, 2015: 0.29196, 2016: 0.2842, 2017: 0.37, 2018-2025: 0.37); ""ZHANG Yong"" (2017: 0.06); ""HUANG Lixing"" (2013: 0.02134, 2014: 0.03492, 2015: 0.06984); ""ZHAO Mingming"" (2016: 0.04656, 2017: 0.04001, 2018-2025: 0.04001); ""CHEN Haibin"" (2013: 0.01746, 2014: 0.02619, 2015: 0.02619, 2016: 0.02619); ""YOU Chun"" (2016: 0.03104, 2017: 0.02, 2018-2025: 0.02)",Yutian Haichen Cistanche Herbal Pieces Company Limited:0.9999,PAN Jinhai:0.57001; YOU Lin:0.37; ZHAO Mingming:0.04001; YOU Chun:0.02,PAN Jinhai:0.57; YOU Lin:0.37; ZHAO Mingming:0.04; YOU Chun:0.02,,,/pdfs/Hetian Dichen Pharmaceutical Biotechnology Company Limited.pdf
和田得欢心食品加工有限公司,Hetian Dehuanxin Food Processing Co.,,,,,,,,,,,
和田普西亚村舒暖养殖农民专业合作社,Shunuan Breeding Farmers Professional Cooperative in Puxia Village,,,,,,,,,,,
和田最旺养殖有限公司,Hotan Zuiwang Breeding Co.,,,,,,,,,,,
和田欢乐食品有限公司,Hetian Happy Food Co.,Hotan Happy Food Company Limited,"December 13, 2023",Labor Issues - Food Processing,,"""McMatti Eli McTeasen"" (2017-2025: 0.8); ""Gumeniyaz Mehmutti"" (2017-2025: 0.2)",,McMatti Eli McTeasen:0.8; Gumeniyaz Mehmutti:0.2,McMatti Eli McTeasen:0.8; Gumeniyaz Mehmutti:0.2,,,/pdfs/Hotan Happy Food Company Limited.pdf
和田民欢食品加工有限公司,Hetian Minhuan Food Processing Co.,Hetian Minhuan Food Processing Company Limited,"December 15, 2023",Labor Issues - Food Processing,,"""Unknown"" (2021: 1, 2019-2020: 0.2, 2022-2025: 0.2); ""Unknown"" (2019-2020: 0.2, 2022-2025: 0.2); ""Eli Doretti"" (2019-2020: 0.2, 2022-2025: 0.2); ""Unknown"" (2019-2020: 0.2, 2022-2025: 0.2); ""Jade Saimu"" (2019-2020: 0.2, 2022-2025: 0.2)",,:0.2; Eli Doretti:0.2; :0.2; Jade Saimu:0.2; :0.2,:0.2; :0.2; Eli Doretti:0.2; :0.2; Jade Saimu:0.2,,,/pdfs/Hetian Minhuan Food Processing Company Limited.pdf
和田河鑫渔业有限责任公司,Hotan Hexin Fisheries Co.,,,,,,,,,,,
和田泽鲜水产养殖有限公司,Hetian Zexian Aquaculture Co.,,,,,,,,,,,
和田渔丰养殖服务有限公司,Hotan Yufeng Aquaculture Service Co.,,,,,,,,,,,
和田源疆农业发展有限公司,Hetian Yuanjiang Agricultural Development Co.,,,,,,,,,,,
和田灿艳生态养殖有限公司,Hetian Chanyan Ecological Breeding Co.,,,,,,,,,,,
和田白泉农业科技开发有限公司,Hotan Baiquan Agricultural Technology Development Co.,,,,,,,,,,,
和田绿牧畜牧技术服务有限公司,Hotan Green Animal Husbandry Technology Service Co.,,,,,,,,,,,
和田美园养殖发展有限公司,Hetianmeiya Breeding Development Co.,,,,,,,,,,,
和田美域养殖有限公司,Hetian Meiyu Breeding Co.,,,,,,,,,,,
和田艾乐迪亚尔食品开发有限公司,Hetian Aile Dial Food Development Co.,,,,,,,,,,,
和田艾科热木食品有限公司,Hetian Aike Hot Wood Food Co.,,,,,,,,,,,
和田萨普德液耐提食品有限公司,Hetian Sapude Liquid Naiti Food Co.,,,,,,,,,,,
和田超凡畜牧科技有限责任公司,Hotan Chaofan Livestock Technology Co.,,,,,,,,,,,
和田迪力夏提畜产品有限公司,Hetian Dilixiati Animal Products Co.,,,,,,,,,,,
和田长润水产科技有限责任公司,Hotan Changrun Aquatic Technology Co.,,,,,,,,,,,
和田阿克其且克养殖有限公司,Hetian Akqi and Kebuya Co.,,,,,,,,,,,
和硕县二十四团黄水水产养殖农民专业合作社,Heshuo County 24th Tuanhuangshui Aquaculture Farmers Professional Cooperative,,,,,,,,,,,
和硕县清源养殖农民专业合作社,Heshuo County Qingyuan Breeding Farmers Professional Cooperative,,,,,,,,,,,
和静县华美养殖专业合作社,Hejing County Huamei Breeding Professional Cooperative,,,,,,,,,,,
和静县晟鑫农贸有限责任公司,Hejing County Shengxin Agricultural Trade Co.,Hejing County Shengxin Agriculture And Trade Company Limited,"March 04, 2024",Labor Issues - Agriculture Involvement; Labor Issues - Food Processing Involvement,,"""Xinjiang Hejing County Supply And Marketing Cooperation Corporation"" (2013-2015: 0.6, 2016-2018: 0.6, 2022-2025: 0.6); ""FENG Yutai"" (2019: 1, 2013-2015: 0.35, 2016-2018: 0.4, 2020-2021: 0.4, 2022-2025: 0.4); ""GAO Junxing"" (2013-2015: 0.05)",Xinjiang Shengxin Agricultural Development Company Limited:1; Xinjiang Shengxin Biological Development Company Limited:1; Hejing Shilin Livestock And Poultry Breeding Professional Cooperative:0.98; Hejing County Juxinyuan Agricultural And Animal Husbandry Professional Cooperative Association:0.4; Hejing County Shengxin Livestock And Poultry Slaughter Factory (Limited Partnership):0.4; Hejing Hongrui Farming Professional Cooperative:0.125,Xinjiang Hejing County Supply And Marketing Cooperation Corporation:0.6; FENG Yutai:0.4,Hejing County Supply And Marketing Cooperation Corporation:0.6; FENG Yutai:0.4,,,/pdfs/Hejing County Shengxin Agriculture And Trade Company Limited.pdf
和静县紫园水产养殖专业合作社,Hejing County Ziyuan Aquaculture Professional Cooperative,,,,,,,,,,,
和静县金池水产有限公司,Hejing County Jinchi Water Products Co.,,,,,,,,,,,
和静瑞德食品有限公司,Hejing Ruide Food Co.,Hejing Ruide Food Company Limited,"December 13, 2023",Labor Issues - Food Processing,,"""ZHANG Yan"" (2015-2021: 0.95, 2022-2025: 0.9241); ""DU Xiaoyue"" (2015-2021: 0.05, 2022-2025: 0.07591)",,ZHANG Yan:0.9241; DU Xiaoyue:0.07591,ZHANG Yan:0.924; DU Xiaoyue:0.076,,,/pdfs/Hejing Ruide Food Company Limited.pdf
哈密兆丰水产养殖专业合作社,Hami Zhaofeng Aquaculture Professional Cooperative,,,,,,,,,,,
哈密市伊州区冰川坎儿冷水鱼养殖场,Glacier Kaner Cold Water Fish Farm in Yizhou District,,,,,,,,,,,
哈密市伊州区回城乡渔丰水产养殖场（个体工商户）,Yufeng Aquaculture Farm,,,,,,,,,,,
哈密市伊州区大泉湾乡邦泽海水产养殖场（个体工商户）,Bangzehai Aquaculture Farm,,,,,,,,,,,
哈密市伊州区聚诚垂钓俱乐部,Jucheng Fishing Club,,,,,,,,,,,
哈密市伊州区鱼乐冰鲜水产品店,Yule Ice Fresh Aquatic Products Store in Yizhou District,,,,,,,,,,,
哈密市天西牧业有限责任公司,Hami Tianxi Husbandry Co.,,,,,,,,,,,
哈密市强鑫水产品养殖专业合作社,Hami Qiangxin Aquatic Products Breeding Professional Cooperative,,,,,,,,,,,
哈巴河县北园春水产经营有限责任公司,Habahe County Beiyuanchun Aquatic Products Management Co.,Habahe County Beiyuanchun Aquatic Products Management Company Limited,"October 16, 2024",Labor Issues - Agriculture,,"""LI Shuhai"" (2020: 0.3, 2021-2025: 0.3); ""MENG Haibo"" (2020: 0.3, 2021-2025: 0.3); ""Urumqi Beiyuanchun (Group) Company Limited"" (2020: 0.2); ""SHEN Yunzhang"" (2020: 0.2, 2021-2025: 0.2)",Xinjiang Beiyuan Chunzhonglian Animal Husbandry Technology Company Limited:0.6,LI Shuhai:0.3; MENG Haibo:0.3; SHEN Yunzhang:0.2; Urumqi Beiyuanchun (Group) Company Limited:0.2,MENG Haibo:0.3; LI Shuhai:0.3; SHEN Yunzhang:0.2; Urumqi Beiyuanchun (Group) Company Limited Trade Union Committee:0.052; PENG Changsheng:0.012; PENG Chao:0.01; YU Zhaoquan:0.007; XU Ruichun:0.007; LIU Chune:0.007; ZHANG Xijun:0.007; YANG Zhensheng:0.007; SU Xiaohai:0.006; LI Jianrong:0.006; ZHOU Bo:0.005; ZHANG Wei:0.005; YANG Zhenzhao:0.005; LIU Gang:0.005; LIU Qing:0.005; YAN Zhixin:0.005; CHEN Bo:0.005; PENG Changlan:0.005; ZHENG Yuyuan:0.005; SU Xinwu:0.005; WANG Yaqiong:0.005; LIU Qiang:0.005; LIU Xiting:0.004; ZHONG Qingfang:0.004; DU Jinzhong:0.004; LI Dilin:0.004; LI Ying:0.003,,,/pdfs/Habahe County Beiyuanchun Aquatic Products Management Company Limited.pdf
哈巴河县源宏泰渔业有限公司,Habahe County Yuanhongtai Fishery Co.,,,,,,,,,,,
哈巴河县素珍渔场,Habahe County Suzhen Fishing Ground,,,,,,,,,,,
哈巴河县额尔齐斯冷水鱼开发有限公司,Ertix Cold Water Fish Development Co.,,,,,,,,,,,
哈巴河茂农水产养殖有限公司,Haba River Mao Nong Aquaculture Co.,,,,,,,,,,,
喀什叶尔羌河勘测设计院,Kashgar Yarkand River Survey and Design Institute,Kashgar Yarkand River Survey And Design Institute Korla Branch,"November 24, 2024",Closed by owner; Government Entity,,,,Xinjiang Tarim River Water Conservancy Survey And Design Institute:1,Yarkand River Basin Management Bureau:1,,,/pdfs/Kashgar Yarkand River Survey And Design Institute Korla Branch.pdf
喀什咯咯哒农业科技有限公司,Kashgar Keluoda Agricultural Technology Co.,,,,,,,,,,,
喀什市七里水乡养殖专业合作社,Kashgar Qili Water Village Breeding Professional Cooperative,,,,,,,,,,,
喀什市蟹丰园养殖专业合作社,Kashgar Crab Garden Breeding Professional Cooperative,,,,,,,,,,,
喀什市醉鲜水产店,Kashgar Zuixian Aquatic Products Store,,,,,,,,,,,
喀什市鼎新养殖农民专业合作社,Kashgar Dingxin Breeding Farmers Professional Cooperative,,,,,,,,,,,
喀什柏永展利畜牧养殖有限公司,Kashibai Yongzhanli Livestock Breeding Co.,,,,,,,,,,,
喀什江越水产养殖有限公司,Kashi Jiangyue Aquaculture Co.,,,,,,,,,,,
喀什沐杨园林绿化苗木繁育中心,Kashgar Muyang Garden Greening Seedling Breeding Center,,,,,,,,,,,
喀什润万物实业有限公司,Kashgar Runwuxing Industrial Co.,,,,,,,,,,,
喀什牧康畜牧发展有限公司,Kashgar Mukang Animal Husbandry Development Co.,,,,,,,,,,,
喀什白云水产品有限公司,Kashi Baiyun Aquatic Products Co.,,,,,,,,,,,
喀什石磊农业科技生态开发有限公司,Kashgar Shilei Agricultural Technology Ecological Development Co.,,,,,,,,,,,
喀什辰宇农业有限公司,Kashi Chenyu Agricultural Co.,,,,,,,,,,,
喀什金蛋蛋科技有限公司,Kashgar Golden Egg Technology Co.,,,,,,,,,,,
喀什鲁喀东郓特种养殖有限公司,Kashgar Lukadongyun Special Breeding Co.,,,,,,,,,,,
喀什鲁禾智慧水产养殖有限公司,Kashgar Luhe Smart Aquaculture Co.,,,,,,,,,,,
喀什鲜美水产有限公司,Kashgar Fresh Aquatic Products Co.,,,,,,,,,,,
喀什鹏怡水产养殖有限公司,Kashgar Pengyi Aquaculture Co.,Kashgar Pengyi Aquaculture Company Limited,"January 13, 2024",,,,,,,,,/pdfs/Kashgar Pengyi Aquaculture Company Limited.pdf
喀什鼎沅聚特种水产养殖开发有限公司,Kashgar Dingyuanju Special Aquaculture Development Co.,,,,,,,,,,,
图木舒克丰收绿色养殖专业合作社,Tumushuke Harvest Green Breeding Professional Cooperative,,,,,,,,,,,
图木舒克农之道农业发展有限公司,Tumushuke Agricultural Development Co.,Xinchuan (Tumushuke) Agricultural Development Company Limited,"March 17, 2024",,,,,Sichuan Lade Brand Management Company Limited:1,Sichuan Lade Brand Management Company Limited:1,,,/pdfs/Xinchuan (Tumushuke) Agricultural Development Company Limited.pdf
图木舒克市亿海水产养殖科技有限公司,Tumushuke Yihai Aquaculture Technology Co.,Tumushuke Yihai Aquaculture Technology Company Limited,"December 19, 2023",,,,,XU Xuejun:0.8; DING Ronggui:0.2,XU Xuejun:0.8; DING Ronggui:0.2,,,/pdfs/Tumushuke Yihai Aquaculture Technology Company Limited.pdf
