original_chinese_name,translated_name,location_eng,wirescreen_name_en,last_retrieval_date,flags,government_ownership_fraction,historical_shareholders,investments,direct_shareholders,beneficial_owners,customers,suppliers,pdf_link
眉山市鑫乐农业开发有限责任公司,"Meishan Xinle Agricultural Development Co., Ltd",Sichuan,,,,,,,,,,,
资阳市通力农业开发有限公司,"Ziyang Tongli Agricultural Development Co., Ltd",Sichuan,,,,,,,,,,,
大竹县万家腾飞水产养殖专业合作社,Wanjia Tengfei Aquaculture Professional Cooperative in Dazhu County,Sichuan,,,,,,,,,,,
剑阁县翠云湖大鲵养殖有限公司,"Jiange County Cuiyun Lake Giant Salamander Breeding Co., Ltd",Sichuan,,,,,,,,,,,
贵州龙源冷水渔业有限公司,"Guizhou Longyuan Cold Water Fishery Co., Ltd",Guizhou,,,,,,,,,,,
赤水市月亮湖生态渔业有限公司,"Chishui Moon Lake Ecological Fishery Co., Ltd",Guizhou,Chishui Moon Lake Ecological Fishery Company Limited,"January 25, 2025",,,,,Xishui County Yongchang Building Material Company Limited:1,YAN Xin:0.9; LI Xiong:0.1,,,/pdfs/Chishui Moon Lake Ecological Fishery Company Limited.pdf
贵州飞水特种水产养殖有限公司,"Guizhou Feishui Special Aquaculture Co., Ltd",Guizhou,,,,,,,,,,,
彝良胜亚养殖专业合作社,Yiliang Shengya Breeding Professional Cooperative,Yunnan,,,,,,,,,,,
镇沅今晨山水产科技有限公司,"Zhenyuan Chenshan Aquatic Science and Technology Co., Ltd",Yunnan,,,,,,,,,,,
岚皋县岚翠湖生态渔业开发有限公司,"Lancui Lake Ecological Fishery Development Co., Ltd. in Langao County",Shaanxi,,,,,,,,,,,
汉中润源水产发展有限公司,"Hanzhong Runyuan Aquatic Products Development Co., Ltd",Shaanxi,,,,,,,,,,,
临泽县集友水产科技有限公司,"Linze County Jiyou Aquatic Science and Technology Co., Ltd",Gansu,,,,,,,,,,,
甘肃黄河人科技养殖有限责任公司,"Gansu Huanghe Human Science and Technology Breeding Co., Ltd",Gansu,,,,,,,,,,,
宁夏荣盛丰现代生态农业科技有限公司,"Ningxia Rongshengfeng Modern Ecological Agriculture Technology Co., Ltd",Ningxia,,,,,,,,,,,
中卫市落草为香家庭渔场,Zhongwei City's Falling Grass for Fragrant Family Fishing Ground,Ningxia,,,,,,,,,,,
宁夏稻梦源农业科技发展有限公司,"Ningxia Daomengyuan Agricultural Technology Development Co., Ltd",Ningxia,,,,,,,,,,,
贺兰县兆丰生态渔业有限公司,"Helan County Zhaofeng Ecological Fishery Co., Ltd",Ningxia,,,,,,,,,,,
青岛明晓海珍品有限公司,"Qingdao Mingxiaohai Treasure Co., Ltd",Qingdao,,,,,,,,,,,
青岛海瑞安水产发展有限公司,"Qingdao Hairuian Aquatic Products Development Co., Ltd",Qingdao,,,,,,,,,,,
宁波市鄞州环亚水产养殖有限公司,"Ningbo Yinzhou Huanya Aquaculture Co., Ltd",Ningbo,,,,,,,,,,,
余姚市大盛水产养殖场,Yusheng Aquaculture Farm in Yuyao City,Ningbo,,,,,,,,,,,
宁波市奉化翔鹤生态养殖园（普通合伙）,"Fenghua Xianghe Ecological Breeding Park, Ningbo City (General Partnership)",Ningbo,,,,,,,,,,,
象山鱼得水水产有限公司,"Xiangshan Yudeshui Aquatic Products Co., Ltd",Ningbo,,,,,,,,,,,
天津市泉江水产养殖专业合作社,Tianjin Quanjiang Aquaculture Professional Cooperative,Tianjin,,,,,,,,,,,
唐山市龙河华景农业科技有限公司,"Tangshan Longhe Huajing Agricultural Technology Co., Ltd",Hebei,Tangshan Longhe Huajing Agricultural Technology Company Limited,"April 26, 2023",,,"""SUN Shaoju"" (2016-2019: 1); ""SUN Jinsheng"" (2016-2019: 1, 2020-2025: 1)",,SUN Jinsheng:1,SUN Jinsheng:1,,,/pdfs/Tangshan Longhe Huajing Agricultural Technology Company Limited.pdf
阜平县思铭乡村大酒店,"Siming Rural Hotel, Fuping County",Hebei,,,,,,,,,,,
河北盈源农业发展集团鸳鸯湖景区旅游开发有限公司,"Hebei Yingyuan Agricultural Development Group Yuanyang Lake Scenic Area Tourism Development Co., Ltd",Hebei,,,,,,,,,,,
乌审旗隆达水产养殖有限责任公司,"Wushenqi Longda Aquaculture Co., Ltd",Inner Mongolia,,,,,,,,,,,
包头市天佑生态农业科技有限责任公司,"Baotou Tianyou Ecological Agriculture Technology Co., Ltd",Inner Mongolia,,,,,,,,,,,
伊金霍洛旗德盛农牧业发展有限责任公司,"Ejin Horo Banner Desheng Agriculture and Animal Husbandry Development Co., Ltd",Inner Mongolia,,,,,,,,,,,
宽甸满族自治县长甸镇永发水产养殖场,YONGFA AQUAFARM OF CHANGDIAN TOWN KUANDIAN MANCHU AUTONOMOUS COUNTY,Liaoning,,,,,,,,,,,
葫芦岛市两河源生态养殖有限责任公司,"Huludao Liangheyuan Ecological Breeding Co., Ltd",Liaoning,,,,,,,,,,,
丹东鸭江渔场,Dandong Yajiang Fishing Ground,Liaoning,,,,,,,,,,,
宽甸县振江镇鹏程渔场,"Pengcheng Fishing Ground in Zhenjiang Town, Kuandian County",Liaoning,,,,,,,,,,,
宽甸恒久水产养殖有限公司,"Kuandian Hengjiu Aquaculture Co., Ltd",Liaoning,,,,,,,,,,,
沈阳博昌淡水鱼养殖有限公司,"Shenyang Bochang Freshwater Fish Farming Co., Ltd",Liaoning,,,,,,,,,,,
盘锦绕阳河文化旅游有限公司,"Panjin Raoyanghe Cultural Tourism Co., Ltd",Liaoning,,,,,,,,,,,
池州市燕氏家庭农场,Yan Family Farm in Chizhou City,Anhui,,,,,,,,,,,
怀宁县穗沣生态农业发展有限公司,"Huaining County Suifeng Ecological Agriculture Development Co., Ltd",Anhui,,,,,,,,,,,
安徽资环农业科技发展有限公司,"Anhui Zihuan Agricultural Technology Development Co., Ltd",Anhui,Anhui Zihuan Agricultural Technology Development Company Limited,"August 26, 2024",,,"""LI Shengping"" (2013-2015: 0.65, 2016-2025: 0.65); ""CHEN Xiaolan"" (2013-2015: 0.1, 2016-2025: 0.35); ""LI Shengfu"" (2013-2015: 0.25)",Anhui Huicheng Municipal Engineering Company Limited:0.51,LI Shengping:0.65; CHEN Xiaolan:0.35,LI Shengping:0.65; CHEN Xiaolan:0.35,,,/pdfs/Anhui Zihuan Agricultural Technology Development Company Limited.pdf
巢湖市鑫光青麓农林生态发展有限公司,"Chaohu Xinguang Qinglu Agriculture and Forestry Ecological Development Co., Ltd",Anhui,,,,,,,,,,,
蚌埠市渔歌农业科技有限公司,"Bengbu Yuge Agricultural Technology Co., Ltd",Anhui,,,,,,,,,,,
阜阳市全洲水产养殖有限公司,"Fuyang Quanzhou Aquaculture Co., Ltd",Anhui,,,,,,,,,,,
安徽岩淮水产养殖有限公司,"Anhui Yanhuai Aquaculture Co., Ltd",Anhui,,,,,,,,,,,
马鞍山姑溪河水产品养殖有限公司,"Ma'anshan Guxi River Water Products Breeding Co., Ltd",Anhui,,,,,,,,,,,
安徽绿洋生态农业科技有限公司,"Anhui Lvyang Ecological Agriculture Technology Co., Ltd",Anhui,,,,,,,,,,,
枞阳县振泰生态水产养殖有限公司,"Zongyang County Zhentai Ecological Aquaculture Co., Ltd",Anhui,,,,,,,,,,,
望江县美正生态渔业有限公司,"Wangjiang County Meizheng Ecological Fishery Co., Ltd",Anhui,,,,,,,,,,,
东山县山南一水鲍鱼场,Shannan Yishui Abalone Farm in Dongshan County,Fujian,,,,,,,,,,,
宁德市南海水产科技有限公司,"Ningde Nanhai Aquatic Science and Technology Co., Ltd",Fujian,,,,,,,,,,,
南昌市英资农业开发有限公司,"Nanchang Yingzi Agricultural Development Co., Ltd",Jiangxi,,,,,,,,,,,
公安县旭峰黄鳝养殖有限公司,"Gong'an County Xufeng Huangshan Breeding Co.,Ltd.",Hubei,,,,,,,,,,,
德炎水产食品股份有限公司,"DEYAN AQUATIC PRODUCTS & FOOD CO.,LTD.",Hubei,Deyan Aquatic Products & Food Company Limited,"August 23, 2024",F.D.A. Refusal; Government Ownership: 23.4%, 23.4%,"""LU Deyan"" (2018: 0.61223, 2002-2017: 0.61223, 2019-2021: 0.61223); ""Hubei Nongfa Investment Company Limited"" (2018: 0.23445, 2002-2017: 0.23445, 2019-2021: 0.23445, 2022-2025: 0.23445); ""LU Yue"" (2018: 0.06945, 2002-2017: 0.07639, 2019-2021: 0.07639); ""PENG Shaomin"" (2018: 0.06945, 2002-2017: 0.07639, 2019-2021: 0.07639); ""CHENG Ming"" (2018: 0.00056, 2002-2017: 0.00056, 2019-2021: 0.00056)",Honghu Deyan Cold Chain Logistics Company Limited:1; Honghu Deyan Fishery Services Company Limited:1; Hubei Honghu Yujia Aquaculture Development Company Limited:1; Hubei Honghu Yujia Aquatic Food Company Limited:1; Hubei Honghu Yujia Trade Company Limited:1; Wuhan Deyuexin Trading Company Limited:1; Hubei Deyan Biological Technology Company Limited:0.51,LU Deyan:0.61223; Hubei Nongfa Investment Company Limited:0.23445; LU Yue:0.07639; PENG Shaomin:0.07639; CHENG Ming:0.00056,LU Deyan:0.612; State-owned Assets Supervision and Administration Commission of  Hubei Provincial People's Government:0.234; LU Yue:0.076; PENG Shaomin:0.076,,,/pdfs/Deyan Aquatic Products & Food Company Limited.pdf
襄阳市闽升特种水产养殖有限公司,"Xiangyang Minsheng Special Aquaculture Co., Ltd",Hubei,,,,,,,,,,,
南漳东阳渔业有限责任公司,"Nanzhang Dongyang Fishery Co., Ltd",Hubei,,,,,,,,,,,
荆门市蔡家大院渔业有限公司,"Jingmen Caijia Dayuan Fishery Co., Ltd",Hubei,,,,,,,,,,,
钟祥市先柱水产食品有限公司,"Zhongxiang Xianzhu Aquatic Food Co., Ltd",Hubei,,,,,,,,,,,
钟祥市天池渔业有限公司,"Zhongxiang Tianchi Fishery Co., Ltd",Hubei,,,,,,,,,,,
沙洋海滨园农业科技发展有限公司,"Shayang Seaside Park Agricultural Technology Development Co., Ltd",Hubei,,,,,,,,,,,
洞口县风林养殖场（个人独资）,Fenglin Farm in Dongkou County (sole proprietorship),Hunan,,,,,,,,,,,
湖南湘农壹品生态农业科技有限公司,"Hunan Xiangnong Yipin Ecological Agriculture Technology Co., Ltd.",Hunan,,,,,,,,,,,
湖南省楚源农业科技有限公司,"Hunan Chuyuan Agricultural Technology Co., Ltd",Hunan,Hunan Chuyuan Agricultural Technology Company Limited,"August 28, 2024",Government Ownership: 35.0%, 35.0%,"""YU Xia"" (2014: 1, 2015: 0.34, 2021: 0.34, 2016-2020: 0.29, 2022-2025: 0.65); ""Anxiang County Supply And Marketing Cooperative"" (2015: 0.35, 2021: 0.35, 2016-2020: 0.35); ""Anxiang County Supply And Marketing Cooperative Union"" (2015: 0.35); ""Anxiang County Chuyuan Agricultural Machinery Service Professional Cooperative"" (2015: 0.1, 2021: 0.1, 2016-2020: 0.1); ""Anfu County Chufu Agricultural Machinery Service Professional Cooperative"" (2015: 0.1, 2021: 0.1, 2016-2020: 0.1); ""Anxiang County Hongxia Agricultural Machinery Service Professional Cooperative"" (2015: 0.06, 2021: 0.06, 2016-2020: 0.06); ""Anxiang County Angundou Chuyuan Agricultural Machinery Service Professional Cooperative"" (2015: 0.05, 2016-2020: 0.05); ""Anxiang County Anguandu Chuyuan Crop Professional Cooperative"" (2015: 0.05, 2021: 0.05, 2016-2020: 0.05)",Moridawadaur Autonomous Banner Chuyuan Agricultural Technology Company Limited:1; Anxiang County Chuyuan Agricultural Machinery Service Professional Cooperative:0.62675; Anfu County Chufu Agricultural Machinery Service Professional Cooperative:0.55867; Anxiang County Tongfu Chuyuan Crop Cooperative:0.51414; Anxiang County Chuxia Agricultural Machinery Service Professional Cooperative:0.5051; Anxiang County Angundou Chuyuan Agricultural Machinery Service Professional Cooperative:0.38117; Anxiang Hongxia Electronic Commerce Industrial Park Company Limited:0.37212; Anxiang County Fuyu Crop Planting Professional Cooperative:0.22973; Anxiang County Wudu Crop Planting Professional Cooperative:0.2188; Changde Nonghelian Agricultural Service Company Limited:0.11977; Anxiang Baotian Agricultural Machinery Company Limited:0.1; Anxiang County Jiayuan Crop Planting Cooperative:; Anxiang County Jinghu Crop Planting Professional Cooperative:; Professional Crop Cooperative Of Chuguan In Anxiang County:,YU Xia:0.65; Anxiang County Supply And Marketing Cooperative Union:0.35,YU Xia:0.65; Anxiang County Supply And Marketing Cooperative Union:0.35,,,/pdfs/Hunan Chuyuan Agricultural Technology Company Limited.pdf
临湘市横河堤养殖场,Henghedi Livestock Farm in Linxiang City,Hunan,,,,,,,,,,,
安乡县九虎家庭农场,Jiuhu Family Farm in Anxiang County,Hunan,,,,,,,,,,,
广州观龙岛农业科技发展有限公司,"Guangzhou Guanlong Island Agricultural Technology Development Co., Ltd.",Guangdong,,,,,,,,,,,
广州市凌海农业发展有限公司,"Guangzhou Linghai Agricultural Development Co., Ltd",Guangdong,,,,,,,,,,,
广州市花都区洋源水产养殖场,Guangzhou Huadu District Yangyuan Aquatic Farm,Guangdong,,,,,,,,,,,
惠州市龙成生物科技有限公司,"Huizhou Longcheng Biotechnology Co., Ltd",Guangdong,,,,,,,,,,,
惠州市惠科农生态农业发展有限公司,"Huizhou Huikenong Ecological Agriculture Development Co., Ltd",Guangdong,,,,,,,,,,,
汕头市大顺实业有限公司,"Shantou Dashun Industrial Co.,Ltd.",Guangdong,,,,,,,,,,,
梅州市桂丰源生态农业发展有限公司,"Meizhou Guifengyuan Ecological Agriculture Development Co., Ltd",Guangdong,,,,,,,,,,,
河源深丰农业发展有限公司,"Heyuan Shenfeng Agricultural Development Co., Ltd",Guangdong,Heyuan Shenfeng Agricultural Development Company Limited,"March 25, 2023",Tier 1 supplier to Government Entity,,,,WANG Yueling:0.1; ZOU Guanqiang:,WANG Yueling:0.1,Heyuan Shenfeng Agricultural Development Company Limited::972500:2023-03-07; Heyuan Shenfeng Agricultural Development Company Limited:Freshwater Fish Supply:648000:2022-05-07,,/pdfs/Heyuan Shenfeng Agricultural Development Company Limited.pdf
常州市兆业农业生态科技有限公司,"Changzhou Zhaoye Agricultural Ecological Technology Co., Ltd",Jiangsu,,,,,,,,,,,
苏州金双凤水乡生态旅游发展有限公司,"Suzhou Jinshuangfeng Water Town Ecotourism Development Co., Ltd",Jiangsu,,,,,,,,,,,
浙江渔歌生态农业开发有限公司,"Zhejiang Yuge Ecological Agriculture Development Co., Ltd",Zhejiang,Zhejiang Yuge Ecological Agriculture Development Company Limited,"September 09, 2024",,,,,,,Zhejiang Yuge Ecological Agriculture Development Company Limited:::2024-07-16; Zhejiang Yuge Ecological Agriculture Development Company Limited:Pollution prevention improvement project:1:2024-07-01,,/pdfs/Zhejiang Yuge Ecological Agriculture Development Company Limited.pdf
德清钟管徐卧虎淡水产养殖场,Deqing Zhongguan Xuwohu Danshui Aquaculture Farm,Zhejiang,,,,,,,,,,,
海宁中得生态养殖有限公司,"Haining Zhongde Ecological Breeding Co., Ltd",Zhejiang,,,,,,,,,,,
龙游力君家庭农场,Longyou Lijun Family Farm,Zhejiang,,,,,,,,,,,
玉环创科水产养殖有限公司,"Yuhuan Chuangke Aquaculture Co., Ltd",Zhejiang,,,,,,,,,,,
建德市小诸葛实业发展有限公司,"Jiande Xiaozhuge Industrial Development Co., Ltd",Zhejiang,Jiande Xiaozhuge Industrial Development Company Limited,"May 14, 2023",Central State-Owned Enterprise Involvement; Government Controlled Company Involvement,,"""ZHUGE Qun"" (2010-2015: 0.06667, 2016-2025: 0.588); ""YU Zhenlian"" (2010-2015: 0.03334, 2016-2025: 0.294); ""YE Wanjiao"" (2016-2025: 0.118)",Hangzhou Jiande China Petroleum & Natural Gas Sales Company Limited:0.5; Petro China Hangzhou Jiande Sales Company Limited:0.245; Heji Wulian (Hangzhou) Company Limited:0.08,ZHUGE Qun:0.588; YU Zhenlian:0.294; YE Wanjiao:0.118,ZHUGE Qun:0.588; YU Zhenlian:0.294; YE Wanjiao:0.118,,,/pdfs/Jiande Xiaozhuge Industrial Development Company Limited.pdf
安徽省临泉县洪生特种水产养殖有限公司,"Anhui Linquan Hongsheng Special Aquaculture Co., Ltd",Anhui,,,,,,,,,,,
宣城众利生态农业有限公司,"Xuancheng Zhongli Ecological Agriculture Co., Ltd",Anhui,,,,,,,,,,,
枞阳县美华家庭农场,Meihua Family Farm in Zongyang County,Anhui,,,,,,,,,,,
吉林省弘达农业服务有限公司,"Jilin Hongda Agricultural Service Co., Ltd",Jilin,,,,,,,,,,,
柳河县年年有鱼水产养殖有限公司,"Liuhe County Yearly Fish Aquaculture Co., Ltd",Jilin,,,,,,,,,,,
镇赉县五棵树镇永豪渔场,"Yonghao Fishing Ground in Wukeshu Town, Zhenlai County",Jilin,,,,,,,,,,,
延边大河渔业有限公司,"Yanbian Dahe Fishery Co., Ltd",Jilin,,,,,,,,,,,
乾安县东北银鲫原种场,Qian'an County Northeast Silver Carp Original Seed Farm,Jilin,,,,,,,,,,,
临江市珍珠冷水鱼养殖繁育有限责任公司,"Linjiang Pearl Cold Water Fish Breeding Co., Ltd",Jilin,,,,,,,,,,,
哈尔滨长岭湖水产养殖有限公司,"Harbin Changling Lake Aquaculture Co., Ltd",Heilongjiang,Harbin Changling Lake Aquaculture Company Limited,"August 23, 2024",Government Entity,,,Harbin Jianxin Urban And Rural Investment Development Company Limited:1; Harbin Changling Lake Ecological Tourism Development Company Limited:,Daoli District Finance Bureau Harbin:1,Daoli District Finance Bureau Harbin:1,,,/pdfs/Harbin Changling Lake Aquaculture Company Limited.pdf
泰来县月洋农业发展有限公司,"Tailai County Yueyang Agricultural Development Co., Ltd",Heilongjiang,,,,,,,,,,,
桦南县福洪淡水养殖有限公司,"Huanan County Fuhong Freshwater Aquaculture Co., Ltd",Heilongjiang,,,,,,,,,,,
大庆市杜尔伯特蒙古族自治县齐家泡渔业有限责任公司,"Qijiapao Fishery Co., Ltd., Duerbote Mongolian Autonomous County, Daqing City",Heilongjiang,,,,,,,,,,,
望奎县山头芦渔业开发有限公司,"Shantou Lu Fishery Development Co., Ltd., Wangkui County",Heilongjiang,,,,,,,,,,,
南京厉宇农业有限公司,"Nanjing Liyu Agriculture Co., Ltd",Jiangsu,,,,,,,,,,,
南京市溧水区贵辉家庭农场,"Guihui Family Farm, Lishui District, Nanjing City",Jiangsu,,,,,,,,,,,
常州市金坛区皓立农业科技有限公司,"Haoli Agricultural Technology Co., Ltd., Jintan District, Changzhou City",Jiangsu,,,,,,,,,,,
威海泰裕水产良种繁育有限公司,"Wendeng Taiyu Aquatic Products Seed Multiplication Co.,Ltd.",Shandong,,,,,,,,,,,
日照市阳光水产科技开发有限公司,"Rizhao Sunshine Aquatic Technology Development Co., Ltd",Shandong,Rizhao Sunshine Aquatic Technology Development Company Limited,"December 27, 2024",,,"""Rizhao Shunfeng Sunshine Ocean Ranch Company Limited"" (2013-2016: 0.51, 2017-2024: 1); ""LI Qixue"" (2013-2016: 0.29); ""WANG Tingwen"" (2013-2016: 0.2)",,LI Qixue:0.6; WANG Tingwen:0.4,LI Qixue:0.6; WANG Tingwen:0.4,,,/pdfs/Rizhao Sunshine Aquatic Technology Development Company Limited.pdf
济宁市鲁恒食品有限公司,"JINING LUHENG FOOD CO.,LTD.",Shandong,,,,,,,,,,,
乳山市宏伟水产育苗养殖场,Hongwei Aquaculture Nursery Farm in Rushan City,Shandong,,,,,,,,,,,
河南旭华生态农业发展有限公司,"Henan Xuhua Ecological Agriculture Development Co., Ltd",Henan,,,,,,,,,,,
商丘市和昌饲料有限公司,"Shangqiu Hechang Feed Co., Ltd",Henan,,,,,,,,,,,
上蔡县馨合兴养殖有限公司,"Shangcai Xinhexing Breeding Co., Ltd",Henan,,,,,,,,,,,
武汉华丰聚生态农业发展有限公司,"Wuhan Huafengju Ecological Agriculture Development Co., Ltd",Hubei,,,,,,,,,,,
蕲春县鑫业生态农业有限公司,"Qichun County Xinye Ecological Agriculture Co., Ltd",Hubei,,,,,,,,,,,
湖北博纳农业科技有限公司,"Hubei Bona Agricultural Technology Co., Ltd",Hubei,,,,,,,,,,,
武汉大洋渔业有限公司,"Wuhan Dayang Fishery Co., Ltd",Hubei,,,,,,,,,,,
武汉中天东恒科技发展有限公司,"Wuhan Zhongtian Dongheng Technology Development Co., Ltd",Hubei,,,,,,,,,,,
四川森林雨农业科技有限公司,"Sichuan Forest Rain Agricultural Technology Co., Ltd",Sichuan,Sichuan Forest Rain Agricultural Technology Company Limited,,,,,,,,Sichuan Forest Rain Agricultural Technology Company Limited:Agricultural and forestry services:647000:2024-10-30,,/pdfs/Sichuan Forest Rain Agricultural Technology Company Limited.pdf
剑阁县丰正水产品养殖家庭农场,Fengzheng Aquatic Products Breeding Family Farm in Jiange County,Sichuan,,,,,,,,,,,
四川东雨农业开发有限公司,"Sichuan Dongyu Agricultural Development Co., Ltd",Sichuan,Sichuan Dongyu Agricultural Development Company Limited,"May 03, 2023",,,"""REN Minggang"" (2014-2019: 0.7); ""LI Jiaying"" (2020: 0.06, 2014-2019: 0.3)",Sichuan Sudao Agriculture Company Limited:0.91; Pengxi Yudong Breeding Professional Cooperative:0.3445,REN Minggang:0.56001; LI Jiaying:0.24,REN Minggang:0.56; LI Jiaying:0.24,,,/pdfs/Sichuan Dongyu Agricultural Development Company Limited.pdf
内江华耀水产养殖有限责任公司,"Neijiang Huayao Aquaculture Co., Ltd",Sichuan,,,,,,,,,,,
平昌县道生渔业有限公司,"Pingchang County Daosheng Fishery Co., Ltd",Sichuan,Pingchang County Daosheng Fishery Company Limited,"October 26, 2024",Government Ownership: 16.7%, 16.7%,,,WEI Hengjun:0.44167; WANG Yi:0.26667; Pakistan-China Industrial Development Fund No. 1 (Limited Partnership):0.16667; FENG Jufeng:0.08334; CHEN Liquan:0.04167,WEI Hengjun:0.442; WANG Yi:0.267; State-Owned Assets Supervision And Administration Commission Of Bazhong City:0.167; FENG Jufeng:0.083; CHEN Liquan:0.042,,,/pdfs/Pingchang County Daosheng Fishery Company Limited.pdf
四川省优特尔农业开发有限公司,"Sichuan Youter Agricultural Development Co., Ltd",Sichuan,,,,,,,,,,,
绵阳永强水产养殖有限公司,"Mianyang Yongqiang Aquaculture Co., Ltd",Sichuan,,,,,,,,,,,
贵州飘香谷农业发展有限公司,"Guizhou Fragrant Valley Agricultural Development Co., Ltd",Guizhou,,,,,,,,,,,
百里杜鹃绿水青山旅游发展有限公司,"Baili Dujuan Green Water and Green Mountain Tourism Development Co., Ltd",Guizhou,,,,,,,,,,,
贵州兴岚生态农业科技有限公司,"Guizhou Xinglan Ecological Agriculture Technology Co., Ltd",Guizhou,,,,,,,,,,,
贵州恒欣达生态产业发展有限公司,"Guizhou Hengxinda Ecological Industry Development Co., Ltd",Guizhou,,,,,,,,,,,
遵义石林水产养殖有限责任公司,"Zunyi Shilin Aquaculture Co., Ltd",Guizhou,,,,,,,,,,,
云南茂湾水产养殖有限责任公司,"Yunnan Maowan Aquaculture Co., Ltd",Yunnan,Yunnan Maowan Aquaculture Company Limited,"January 19, 2024",,,"""YIN Shumao"" (2012: 0.9, 2013: 0.9, 2014-2015: 0.9, 2016-2019: 0.9, 2021-2025: 0.9); ""GAO Yan"" (2012: 0.35, 2013: 0.35, 2014-2015: 0.35, 2016-2019: 0.05); ""YIN Lijing"" (2012: 0.35, 2013: 0.35, 2014-2015: 0.35, 2016-2019: 0.05); ""TAO Hongjun"" (2013: 0.05); ""ZHANG Yanbing"" (2013: 0.05)",,YIN Shumao:0.9; GAO Yan:0.05; YIN Lijing:0.05,YIN Shumao:0.9; GAO Yan:0.05; YIN Lijing:0.05,,,/pdfs/Yunnan Maowan Aquaculture Company Limited.pdf
宣威风林碧洲农业开发有限公司,"Xuanwei Fenglin Bizhou Agricultural Development Co., Ltd",Yunnan,,,,,,,,,,,
西乡县华强水产养殖有限责任公司,"Xixiang County Huaqiang Aquaculture Co., Ltd",Shaanxi,,,,,,,,,,,
榆中青城五良养殖场,Yuzhong Qingcheng Wuliang Breeding Farm,Gansu,,,,,,,,,,,
青海高原黄河冷水鱼开发有限公司,"Qinghai Plateau Yellow River Cold Water Fish Development Co., Ltd",Qinghai,,,,,,,,,,,
大连市金州区大魏家金林水产种苗厂,Dalian Jinzhou District Daweijia Jinlin Aquatic Seed Factory,Dalian,,,,,,,,,,,
慈溪市新浦银峰水产养殖场,Xinpu Yinfeng Aquaculture Farm in Cixi City,Ningbo,,,,,,,,,,,
广东丰泫农业科技有限公司,"Guangdong Fenghe Agricultural Technology Co., Ltd",Guangdong,,,,,,,,,,,
广西庄润农业发展有限公司,"Guangxi Zhuangren Agricultural Development Co., Ltd",Guangxi,,,,,,,,,,,
广西强国农业发展有限公司,"Guangxi Guoqiang Agricultural Development Co., Ltd",Guangxi,,,,,,,,,,,
广西仁者虾水产养殖有限公司,"Guangxi Renzhe Shrimp Aquaculture Co., Ltd",Guangxi,Guangxi Renzhe Shrimp Aquaculture Company Limited,"October 17, 2024",,,"""Guangxi Junqi Investment Group Company Limited"" (2020: 1); ""Guangxi Renzheairen Aquatic Products Factory R&D Center Company Limited"" (2018-2019: 1); ""Guangxi Mangrove Innovation Technology Company Limited"" (2021-2025: 1)",,Guangxi Mangrove Innovation Technology Company Limited:1,HOU Zongyuan:0.99; HOU Yixin:0.01,,,/pdfs/Guangxi Renzhe Shrimp Aquaculture Company Limited.pdf
钦州市八仙兰农业开发有限公司,"Qinzhou Baxianlan Agricultural Development Co., Ltd",Guangxi,Qinzhou Baxianlan Agricultural Development Company Limited,"October 17, 2024",,,"""ZHANG Chunlian"" (2017-2019: 0.9, 2020-2025: 0.9); ""ZHANG Xiaolian"" (2017-2019: 0.05); ""ZHANG Libing"" (2017-2019: 0.05)",Qinzhou Baxianlan Agricultural Development Company Limited Swan Lake Branch:1,ZHANG Chunlian:0.9; ZHANG Libing:0.05; ZHANG Xiaolian:0.05,ZHANG Chunlian:0.9; ZHANG Libing:0.05; ZHANG Xiaolian:0.05,,,/pdfs/Qinzhou Baxianlan Agricultural Development Company Limited.pdf
重庆市巴南区江塘水产养殖专业合作社,Chongqing Banan District Jiangtang Aquaculture Professional Cooperative,Chongqing,,,,,,,,,,,
重庆市万盛经开区新春养鱼场,Chongqing Wansheng Economic Development Zone Xinchun Fish Farm,Chongqing,,,,,,,,,,,
德阳市老农民水产养殖家庭农场,Deyang City Old Farmer Aquaculture Family Farm,Sichuan,,,,,,,,,,,
天津市民欣水产养殖专业合作社,Tianjin Citizen Xin Aquaculture Professional Cooperative,Tianjin,,,,,,,,,,,
天津海升水产养殖有限公司,"Tianjin Haisheng Aquaculture Co., Ltd.",Tianjin,Tianjin Haisheng Aquaculture Company Limited,"May 18, 2022",,,"""Tianjin Haider Runzi Group Company Limited"" (2010: 0.728, 2011-2025: 0.728); ""Tianjin Xiangyun Industrial Company Limited"" (2011-2025: 0.27201)",,Tianjin Haider Runzi Group Company Limited:0.728; Tianjin Xiangyun Industrial Company Limited:0.27201,Tianjin Dagang District Gangdian Duojing Industrial Company:0.978; LI Yongli:0.002,,,/pdfs/Tianjin Haisheng Aquaculture Company Limited.pdf
天津鑫永丰水产养殖有限公司,"Tianjin Xinyongfeng Aquaculture Co., Ltd.",Tianjin,,,,,,,,,,,
天津市滨海新区鼎鑫水产养殖有限公司,"Tianjin Binhai New Area Dingxin Aquaculture Co., Ltd",Tianjin,,,,,,,,,,,
天津兴泊水产养殖有限公司,"Tianjin Xingbo Aquaculture Co., Ltd",Tianjin,,,,,,,,,,,
天津森鑫水产养殖有限公司,"Tianjin Senxin Aquaculture Co., Ltd",Tianjin,,,,,,,,,,,
天津市滨海新区贵兴水产养殖有限公司,"Tianjin Binhai New Area Guixing Aquaculture Co., Ltd",Tianjin,,,,,,,,,,,
天津市文河水产养殖专业合作社,Tianjin Wenhe Aquaculture Professional Cooperative,Tianjin,,,,,,,,,,,
